detailFund.acronym,detailFund.tradingName,detailFund.tradingCode,detailFund.tradingCodeOthers,detailFund.cnpj,detailFund.classification,detailFund.webSite,detailFund.fundAddress,detailFund.fundPhoneNumberDDD,detailFund.fundPhoneNumber,detailFund.fundPhoneNumberFax,detailFund.positionManager,detailFund.managerName,detailFund.companyAddress,detailFund.companyPhoneNumberDDD,detailFund.companyPhoneNumber,detailFund.companyPhoneNumberFax,detailFund.companyEmail,detailFund.companyName,detailFund.quotaCount,detailFund.quotaDateApproved,detailFund.typeFNET,detailFund.codes,detailFund.codesOther,detailFund.segment,shareHolder.shareHolderName,shareHolder.shareHolderAddress,shareHolder.shareHolderPhoneNumberDDD,shareHolder.shareHolderPhoneNumber,shareHolder.shareHolderFaxNumber,shareHolder.shareHolderEmail,url
QAMI,FII QUASAR C,QAMI11 ,,32400264000129,Financeiro e Outros/Fundos/Fundos Imobiliários,www.bancoplural.com,N/I PRAIA DE BOTAFOGO 228 - 9 ANDAR - CEP: 22250040 CIDADE: RIO DE JANEIRO UF: RJ,11,32068000,0,DIRETOR RESPONSAVEL,RODRIGO DE GODOY,N/I PRAIA DE BOTAFOGO 228 - 9 ANDAR - CEP: 22250040 CIDADE: RIO DE JANEIRO UF: RJ,11,32068000,0,complianceadm@bancoplural.com,QUASAR CRÉDITO IMOBILIÁRIO FDO. INV. IMOB.        ,801398,2021-02-02,,['QAMI11'],,,BANCO GENIAL S.A.                       ,"PRAIA DO BOTAFOGO, 228 - SALA 907 - CEP: 22250040 Cidade: RIO DE JANEIRO UF: RJ",21,25400303,0,escrituracao@bancogenial.com,https://sistemaswebb3-listados.b3.com.br/fundsProxy/fundsCall/GetDetailFundSIG/eyJ0eXBlRnVuZCI6NywiaWRlbnRpZmllckZ1bmQiOiJRQU1JIn0=
EVBI,FII VBI CON ,EVBI11 ,,34691520000100,Financeiro e Outros/Fundos/Fundos Imobiliários                                  ,www.brltrust.com.br,"R IGUATEMI 151 - 19 ANDAR, 151 - 19 ANDAR - CEP: 1451011 CIDADE: SÃO PAULO UF: SP",11,31330350,0,DIRETOR RESPONSAVEL                     ,DANILO CHRISTÓFARO BARBIERI                                 ,"R IGUATEMI 151 - 19 ANDAR, 151 - 19 ANDAR - CEP: 1451011 CIDADE: SÃO PAULO UF: SP",11,31330350,0,fii@brltrust.com.br,VBI CONSUMO ESSEN FDO. INVEST. IMOB.              ,1673280,2023-01-06,,['EVBI11'],,,BRL TRUST DTVM S.A.                     ,"R IGUATEMI, 151 - 19.ANDAR - CEP: 1451011 Cidade: SAO PAULO UF: SP",11,31330350,0,funds@brltrust.com.br,https://sistemaswebb3-listados.b3.com.br/fundsProxy/fundsCall/GetDetailFundSIG/eyJ0eXBlRnVuZCI6NywiY25waiI6IjM0NjkxNTIwMDAwMTAwIiwiaWRlbnRpZmllckZ1bmQiOiJFVkJJIn0=
KDIF,KINEA INFRAF,KDIF11 ,,26324298000189,Financeiro e Outros/Fundos/Fundos de Direitos Creditórios,www.intrag.com.br,N/I BRIGADEIRO FARIA LIMA 3400 - 10 ANDAR - CEP: 4538132 CIDADE: SAO PAULO UF: SP,11,36312943,30726228,DIRETOR RESPONSAVEL,EDUARDO ESTEFAN VENTURA,N/I BRIGADEIRO FARIA LIMA 3400 - 10 ANDAR - CEP: 4538132 CIDADE: SAO PAULO UF: SP,11,36312943,30726228,relacionamento.reguladores@itau-unibanco.com.br,KINEA INFRA - FDO INV COTAS FDO INC. INV INF RF CP,19473017,2022-11-17,,['KDIF11'],,,ITAU CORRETORA ACOES                    ,RUA BOA VISTA 176 - 1.SUBSOLO - CEP: 1013001 Cidade: SÃO PAULO UF: SP,11,30039285,0,investfone@itau-unibanco.com.br,https://sistemaswebb3-listados.b3.com.br/fundsProxy/fundsCall/GetDetailFundSIG/eyJ0eXBlRnVuZCI6MjcsImNucGoiOiIyNjMyNDI5ODAwMDE4OSIsImlkZW50aWZpZXJGdW5kIjoiS0RJRiJ9
SAIC,FII SIA CORP,SAIC11B ,,17311079000174,Financeiro e Outros/Fundos/Fundos Imobiliários,www.brb.com.br,N/I SBS - QUADRA 01 - BLOCO E  - ED. BRASILIA - CEP: 70072900 CIDADE: BRASILIA UF: DF,61,34129064,34128834,DIRETOR RESPONSAVEL,KÁTIA DO CARMO PEIXOTO DE QUEIROZ,N/I SBS - QUADRA 01 - BLOCO E  - ED. BRASILIA - CEP: 70072900 CIDADE: BRASILIA UF: DF,61,34129064,34128834,ddaretdtvm@dtvm.brb.com.br,FDO INV IMOB - FII SIA CORPORATE                  ,1429830,2015-01-05,,['SAIC11B'],,,BRB DTVM S/A,R SBS - QUADRA 01 - BLOCO E  - ED. BRASILIA - CEP: 70072900 CIDADE: BRASILIA UF: DF,61,34129064,0,ggecapdtvm@dtvm.brb.com.br,https://sistemaswebb3-listados.b3.com.br/fundsProxy/fundsCall/GetDetailFundSIG/eyJ0eXBlRnVuZCI6NywiY25waiI6IjE3MzExMDc5MDAwMTc0IiwiaWRlbnRpZmllckZ1bmQiOiJTQUlDIn0=
FGPM,FII GRPLMALL,,,23781227000117,Financeiro e Outros/Fundos/Fundos Imobiliários                                  ,www.riobravo.com.br,"AV Chedid Jafet 222 -  bloco B, 3º andar - CEP: 4551065 CIDADE: São Paulo UF: SP",11,35096600,0,DIRETOR RESPONSAVEL                     ,PAULO ANDRÉ PORTO BILYK                                     ,AV CHEDID JAFET 222 - BLOCO B - CEP: 4551065 CIDADE: SÃO PAULO UF: SP,11,30596600,0,correspondencia@riobravo.com.br,FDO INVEST IMOB GRAND PLAZA MALL                  ,4709083,2020-12-28,,,,,RIO BRAVO INVESTIMENTOS DTVM S.A.       ,"AV CHEDID JAFET, 222 - BLOCO B - 3.ANDAR - CEP: 4551065 Cidade: SAO PAULO UF: SP",11,35096600,0,escrituracao@riobravo.com.br,https://sistemaswebb3-listados.b3.com.br/fundsProxy/fundsCall/GetDetailFundSIG/eyJjbnBqIjoiMjM3ODEyMjcwMDAxMTciLCJpZGVudGlmaWVyRnVuZCI6IkZHUE0iLCJ0eXBlRnVuZCI6N30=
RBRL,FII RBR LOG ,RBRL11 ,,35705463000133,Financeiro e Outros/Fundos/Fundos Imobiliários,www.brltrust.com.br,R IGUATEMI 151 - 19 ANDAR - CEP: 1451011 CIDADE: SÃO PAULO UF: SP,11,31330350,0,DIRETOR RESPONSAVEL,DANILO CHRISTÓFARO BARBIERI,R IGUATEMI 151 - 19 ANDAR - CEP: 1451011 CIDADE: SÃO PAULO UF: SP,11,31330350,0,fii@brltrust.com.br,RBR LOG FUNDO DE INVESTIMENTO IMOBILIÁRIO         ,6687035,2021-05-24,,['RBRL11'],,,BRL TRUST DTVM S.A.                     ,"R IGUATEMI, 151 - 19.ANDAR - CEP: 1451011 Cidade: SAO PAULO UF: SP",11,31330350,0,funds@brltrust.com.br,https://sistemaswebb3-listados.b3.com.br/fundsProxy/fundsCall/GetDetailFundSIG/eyJ0eXBlRnVuZCI6NywiaWRlbnRpZmllckZ1bmQiOiJSQlJMIn0=
BTSG,FII BTSP I  ,BTSG11 ,,36098375000183,Financeiro e Outros/Fundos/Fundos Imobiliários,www.bancointer.com.br/inter-dtvm/,R Joaquim Floriano 960 - 14º Andar - CEP: 4534004 CIDADE: SÃO PAULO UF: SP,31,36145332,0,DIRETOR RESPONSAVEL,MARIA CLARA GUIMARÃES GUSMÃO,R Joaquim Floriano 960 - 14º Andar - CEP: 4534004 CIDADE: SÃO PAULO UF: SP,31,36145332,0,admfundos@interdtvm.com.br,BTSP I FDO. INVEST. IMOB - FII                    ,775015,2021-07-02,,['BTSG11'],,,INTER DTVM LTDA.                        ,AV do Contorno 7777 - 1 andar - CEP: 30110051 Cidade: Belo Horizonte UF: MG,31,24387978,0,idtvm@interdtvm.com.br,https://sistemaswebb3-listados.b3.com.br/fundsProxy/fundsCall/GetDetailFundSIG/eyJ0eXBlRnVuZCI6NywiY25waiI6IjM2MDk4Mzc1MDAwMTgzIiwiaWRlbnRpZmllckZ1bmQiOiJCVFNHIn0=
JFLL,FII JFL LIV ,JFLL11 ,,36501181000187,Financeiro e Outros/Fundos/Fundos Imobiliários                                  ,www.bancoplural.com,Praia de Botafogo - CEP: 22250906 CIDADE: RIO DE JANEIRO UF: RJ,11,32068340,0,DIRETOR RESPONSAVEL                     ,RODRIGO DE GODOY,Praia de Botafogo - CEP: 22250906 CIDADE: RIO DE JANEIRO UF: RJ,11,32068340,0,rodrigo.godoy@bancoplural.com,JFL LIVING FDO. INV. IMOB.                        ,1500598,2020-11-03,,['JFLL11'],,,BANCO GENIAL S.A.                       ,"PRAIA DO BOTAFOGO, 228 - SALA 907 - CEP: 22250040 Cidade: RIO DE JANEIRO UF: RJ",21,25400303,0,escrituracao@bancogenial.com,https://sistemaswebb3-listados.b3.com.br/fundsProxy/fundsCall/GetDetailFundSIG/eyJ0eXBlRnVuZCI6NywiY25waiI6IjM2NTAxMTgxMDAwMTg3IiwiaWRlbnRpZmllckZ1bmQiOiJKRkxMIn0=
MGCR,FII MOGNO HG,MGCR11 ,,35652204000191,Financeiro e Outros/Fundos/Fundos Imobiliários                                  ,www.btgpactual.com/asset-management/fundos-btg-pactual,"PRAIA DO BOTAFOGO, 501 - 5 ANDAR, PARTE - CEP: 22250040 CIDADE: RIO DE JANEIRO UF: RJ",11,33832513,0,DIRETOR RESPONSAVEL                     ,ALLAN HADDID,"PRAIA DO BOTAFOGO, 501 - 5 ANDAR, PARTE - CEP: 22250040 CIDADE: RIO DE JANEIRO UF: RJ",11,33832513,0,sh-contatofundoimobiliario@btgpactual.com,FDO DE INV. MOGNO CERTIFICADOS DE RECEBÍVEIS IMOB.,1422304,2021-05-19,,['MGCR11'],,,BTG PACTUAL SERVIÇOS FINANC. S.A. DTVM  ,PRAIA DE BOTAFOGO 501 - 5.ANDAR - CEP: 22250040 Cidade: RIO DE JANEIRO UF: RJ,21,32629600,32628600,-,https://sistemaswebb3-listados.b3.com.br/fundsProxy/fundsCall/GetDetailFundSIG/eyJ0eXBlRnVuZCI6NywiaWRlbnRpZmllckZ1bmQiOiJNR0NSIn0=
ATWN,FII A TOWN  ,,,27773327000152,Financeiro e Outros/Fundos/Fundos Imobiliários                                  ,www.reag.com.br,Gilberto Sabino - CEP: 5425020 CIDADE: SÃO PAULO UF: SP,11,30307177,0,DIRETOR RESPONSAVEL                     ,SILVANO GERSZTEL,Gilberto Sabino - CEP: 5425020 CIDADE: SÃO PAULO UF: SP,11,30307177,0,dtvm@reag.com.br,FDO. INV. IMOB. A - TOWN                          ,879522,2020-12-28,,,,,VORTX DTVM LTDA.                        ,R GILBERTO SABINO 215 - 4 ANDAR - CEP: 5425020 Cidade: SAO PAULO UF: SP,11,30307177,30307177,escrituracao@vortx.com.br,https://sistemaswebb3-listados.b3.com.br/fundsProxy/fundsCall/GetDetailFundSIG/eyJ0eXBlRnVuZCI6NywiY25waiI6IjI3NzczMzI3MDAwMTUyIiwiaWRlbnRpZmllckZ1bmQiOiJBVFdOIn0=
