assetIssued,paymentDate,rate,relatedTo,approvedOn,isinCode,label,lastDatePrior,remarks,code
BRURPRCTF002,2023-01-13,1.21,12-2022/2022,2022-12-29,BRURPRCTF002,RENDIMENTO,2022-12-29,,URPR
BRURPRCTF002,2022-12-14,1.11,11-2022/2022,2022-11-30,BRURPRCTF002,RENDIMENTO,2022-11-30,,URPR
BRURPRCTF002,2022-11-16,1.13,10-2022/2022,2022-10-31,BRURPRCTF002,RENDIMENTO,2022-10-31,,URPR
BRURPRCTF002,2022-10-17,1.31,30/09/2022/2022,2022-09-30,BRURPRCTF002,RENDIMENTO,2022-09-30,,URPR
BRURPRR12M16,2022-10-17,0.68,30/09/2022/2022,2022-09-30,BRURPRR12M16,RENDIMENTO,2022-09-30,,URPR
BRURPRCTF002,2022-09-15,1.62,08-2022/2022,2022-08-31,BRURPRCTF002,RENDIMENTO,2022-08-31,,URPR
BRURPRCTF002,2022-08-12,1.2,07-2022/2022,2022-07-29,BRURPRCTF002,RENDIMENTO,2022-07-29,,URPR
BRURPRCTF002,2022-07-14,1.85,06-2022/2022,2022-06-30,BRURPRCTF002,RENDIMENTO,2022-06-30,,URPR
BRURPRR10M18,2022-07-14,1.0,06-2022/2022,2022-06-30,BRURPRR10M18,RENDIMENTO,2022-06-30,,URPR
BRURPRR11M17,2022-07-14,1.0,06-2022/2022,2022-06-30,BRURPRR11M17,RENDIMENTO,2022-06-30,,URPR
BRURPRCTF002,2022-06-14,2.01,05-2022/2022,2022-05-31,BRURPRCTF002,RENDIMENTO,2022-05-31,,URPR
BRURPRR10M18,2022-06-14,1.09,05-2022/2022,2022-05-31,BRURPRR10M18,RENDIMENTO,2022-05-31,,URPR
BRURPRR11M17,2022-06-14,0.94,05-2022/2022,2022-05-31,BRURPRR11M17,RENDIMENTO,2022-05-31,,URPR
BRURPRCTF002,2022-05-13,1.84,04-2022/2022,2022-04-29,BRURPRCTF002,RENDIMENTO,2022-04-29,,URPR
BRURPRCTF002,2022-04-14,1.65,03-2022/2022,2022-03-31,BRURPRCTF002,RENDIMENTO,2022-03-31,,URPR
BRURPRCTF002,2022-03-15,1.635,02-2022/2022,2022-02-25,BRURPRCTF002,RENDIMENTO,2022-02-25,,URPR
BRURPRCTF002,2022-02-14,1.63,01-2022/2022,2022-01-31,BRURPRCTF002,RENDIMENTO,2022-01-31,,URPR
BRURPRR08M12,2022-02-14,1.1736,01-2022/2022,2022-01-31,BRURPRR08M12,RENDIMENTO,2022-01-31,,URPR
BRURPRR08M12,2022-02-14,1.1736,01-2022/2022,2022-01-31,BRURPRR08M12,RENDIMENTO,2022-01-31,,URPR
BRURPRR09M11,2022-02-14,1.1736,01-2022/2022,2022-01-31,BRURPRR09M11,RENDIMENTO,2022-01-31,,URPR
BRVJFDCTF008,2023-01-13,1.1,Dezembro/2022,2022-12-29,BRVJFDCTF008,RENDIMENTO,2022-12-29,,VJFD
BRVJFDCTF008,2022-12-14,1.0175,Novembro/2022,2022-11-30,BRVJFDCTF008,RENDIMENTO,2022-11-30,,VJFD
BRVJFDCTF008,2022-11-16,1.0117,Outubro/2022,2022-10-31,BRVJFDCTF008,RENDIMENTO,2022-10-31,,VJFD
BRVJFDCTF008,2022-10-17,1.0109149,Setembro/2022,2022-09-30,BRVJFDCTF008,RENDIMENTO,2022-09-30,,VJFD
BRVJFDCTF008,2022-09-15,1.0161102,Agosto/2022,2022-08-31,BRVJFDCTF008,RENDIMENTO,2022-08-31,,VJFD
BRVJFDCTF008,2022-08-12,1.0033,Julho/2022,2022-07-29,BRVJFDCTF008,RENDIMENTO,2022-07-29,,VJFD
BRVJFDCTF008,2022-07-14,0.9949,Junho/2022,2022-06-30,BRVJFDCTF008,RENDIMENTO,2022-06-30,,VJFD
BRVJFDCTF008,2022-06-14,0.93,Maio/2022,2022-05-31,BRVJFDCTF008,RENDIMENTO,2022-05-31,,VJFD
BRVJFDCTF008,2022-05-13,0.9,Abril/2022,2022-04-29,BRVJFDCTF008,RENDIMENTO,2022-04-29,,VJFD
BRVJFDCTF008,2022-04-14,0.8881,Março/2022,2022-03-31,BRVJFDCTF008,RENDIMENTO,2022-03-31,,VJFD
BRVJFDCTF008,2022-03-15,0.8357,Fevereiro/2022,2022-02-25,BRVJFDCTF008,RENDIMENTO,2022-02-25,,VJFD
BRVJFDCTF008,2022-02-14,0.92,Janeiro/2022,2022-01-31,BRVJFDCTF008,RENDIMENTO,2022-01-31,,VJFD
BRPATCCTF002,2023-01-09,0.34,Dezembro/2022,2022-12-29,BRPATCCTF002,RENDIMENTO,2022-12-29,,PATC
BRPATCCTF002,2023-01-11,2.87,DEZEMBRO/2022,2022-12-23,BRPATCCTF002,AMORTIZACAO RF,2022-12-23,,PATC
BRPATCCTF002,2022-12-08,0.28,Novembro/2022,2022-11-30,BRPATCCTF002,RENDIMENTO,2022-11-30,,PATC
BRPATCCTF002,2022-11-09,5.75,NOVEMBRO/2022,2022-11-01,BRPATCCTF002,AMORTIZACAO RF,2022-11-01,,PATC
BRPATCCTF002,2022-11-09,0.4,Outubro/2022,2022-10-31,BRPATCCTF002,RENDIMENTO,2022-10-31,,PATC
BRPATCCTF002,2022-10-10,0.4,Setembro/2022,2022-09-30,BRPATCCTF002,RENDIMENTO,2022-09-30,,PATC
