assetIssued,factor,approvedOn,isinCode,label,lastDatePrior,remarks,code
BRVILGCTF001,10.0,2019-02-08,BRVILGCTF001,DESDOBRAMENTO,2019-03-08,,VILG
BRSTRXCTF006,9899.99798655683,2021-07-12,BRSTRXCTF006,DESDOBRAMENTO,2021-07-13,,STRX
BRSTRXR01M11,9899.99798655683,2021-07-12,BRSTRXR01M11,DESDOBRAMENTO,2021-07-13,,STRX
BRAIECCTF009,0.01,2020-09-03,BRAIECCTF009,GRUPAMENTO,2020-09-09,,AIEC
BRHGRECTF006,900.0,2018-04-19,BRHGRECTF006,DESDOBRAMENTO,2018-04-19,,HGRE
BRCXRICTF003,900.0,2020-08-14,BRCXRICTF003,DESDOBRAMENTO,2020-09-09,,CXRI
BRMTOFCTF003,1000.0,2021-04-29,BRMTOFCTF003,DESDOBRAMENTO,2021-05-03,,MTOF
BRMTOFCTF003,0.08333333334,2021-04-29,BRMTOFCTF003,GRUPAMENTO,2021-05-03,,MTOF
BRHABTCTF001,878.6982,2020-09-11,BRHBTTCTF001,INCORPORACAO,2020-09-30,,HBTT
BRKNRICTF007,900.0,2014-05-08,BRKNRICTF007,DESDOBRAMENTO,2014-05-30,,KNRI
,100.0,2020-03-13,BRHGFFR01M15,RESG TOTAL RV,2020-03-13,,HGFF
BRDRITCTF009,900.0,2012-04-25,BRDRITCTF009,DESDOBRAMENTO,2012-04-25,,DRIT
BRONEFCTF003,900.0,2018-04-25,BRONEFCTF003,DESDOBRAMENTO,2018-04-25,,ONEF
BRFCFLCTF009,1900.0,2019-09-24,BRFCFLCTF009,DESDOBRAMENTO,2019-09-30,,FCFL
,100.0,2018-11-05,BRJRDMR13M19,RESG TOTAL RV,2018-11-05,,JRDM
BRCBOPCTF001,900.0,2018-04-16,BRCBOPCTF001,DESDOBRAMENTO,2018-04-16,,CBOP
BRERPACTF002,0.000404,2022-03-21,BRERPACTF002,DESDOBRAMENTO,2022-03-24,,ERPA
BRHCTRR01M19,900.0,2019-08-30,BRHCTRR01M19,DESDOBRAMENTO,2019-10-01,,HCTR
BRHCTRR02M18,900.0,2019-08-30,BRHCTRR02M18,DESDOBRAMENTO,2019-10-01,,HCTR
BRSJAUCTF009,21888.8229749948,2021-04-14,BRSJAUCTF009,DESDOBRAMENTO,2021-04-15,,SJAU
BRGALGCTF009,900.0,2022-08-25,BRGALGCTF009,DESDOBRAMENTO,2022-08-29,,GALG
,100.0,2022-11-18,BRBIMER02M10,RESG TOTAL RV,2022-11-18,,BIME
,100.0,2021-12-01,BRBLMGR06M19,RESG TOTAL RV,2021-12-01,,BLMG
,100.0,2021-12-01,BRBLMGR08M17,RESG TOTAL RV,2021-12-01,,BLMG
BRATSACTF000,900.0,2018-10-04,BRATSACTF000,DESDOBRAMENTO,2018-10-04,,ATSA
,100.0,2020-03-30,BRXPLGR06M10,RESG TOTAL RV,2020-03-30,,XPLG
BRKISUCTF000,900.0,2021-07-22,BRKISUCTF000,DESDOBRAMENTO,2021-07-23,,KISU
BRLATRCTF009,9900.0,2013-12-26,BRLATRCTF009,DESDOBRAMENTO,2014-02-25,,LATR
,100.0,2021-10-27,BRMINTR03M18,RESG TOTAL RV,2021-10-28,,MINT
BREGYRCTF001,0.25,2021-08-09,BREGYRCTF001,GRUPAMENTO,2021-08-09,,EGYR
,100.0,2022-06-30,BRJGPXR02M18,RESG TOTAL RV,2022-07-01,,JGPX
,100.0,2022-06-30,BRJGPXR03M17,RESG TOTAL RV,2022-07-01,,JGPX
,100.0,2022-03-30,BRPRTSCTF002,RESG TOTAL RV,2022-05-11,,PRTS
BRRCFACTF007,0.05,2021-12-01,BRRCFACTF007,GRUPAMENTO,2021-12-30,,RCFA
,100.0,2021-09-10,BRBTLGR18M18,RESG TOTAL RV,2021-09-13,,BTLG
,100.0,2022-05-31,BRMGHTR19M10,RESG TOTAL RV,2022-06-01,,MGHT
BRHGBSCTF000,900.0,2018-04-26,BRHGBSCTF000,DESDOBRAMENTO,2018-04-26,,HGBS
BRHGLGCTF004,900.0,2018-04-17,BRHGLGCTF004,DESDOBRAMENTO,2018-04-17,,HGLG
BRBMIICTF007,0.01,2011-01-10,BRBMIICTF007,GRUPAMENTO,2011-04-06,,BMII
BRCXCECTF004,2400.0,2020-06-24,BRCXCECTF004,DESDOBRAMENTO,2020-07-17,,CXCE
BRVGIRCTF008,900.0,2022-09-08,BRVGIRCTF008,DESDOBRAMENTO,2022-09-08,,VGIR
BRPRSNCTF005,0.25,2022-09-24,BRPRSNCTF005,GRUPAMENTO,2022-09-30,,PRSN
BRPRSNCTF005,0.25,2021-12-05,BRPRSNCTF005,GRUPAMENTO,2022-01-31,,PRSN
BRFLMACTF009,0.02,2021-04-16,BRFLMACTF009,GRUPAMENTO,2021-05-31,,FLMA
BRFLMACTF009,9.658399,2006-02-14,BRFLMACTF009,BONIFICACAO,2006-02-14,,FLMA
BRBTCICTF005,800.0,2023-01-13,BRBTCICTF005,DESDOBRAMENTO,2023-01-18,,BTCI
BRNVIFCTF009,2000008.2750787,2018-08-20,BRNVIFCTF009,DESDOBRAMENTO,2018-08-20,,NVIF
BRMXRFCTF008,900.0,2017-05-15,BRMXRFCTF008,DESDOBRAMENTO,2017-05-16,,MXRF
BRCARECTF000,0.2,2021-10-27,BRCARECTF000,GRUPAMENTO,2021-11-29,,CARE
,100.0,2017-03-02,BRCARER01M13,RESG TOTAL RV,2017-03-06,,CARE
BRFISCCTF008,900.0,2020-12-03,BRFISCCTF008,DESDOBRAMENTO,2020-12-10,,FISC
,100.0,2020-03-30,BRCPFFR02M18,RESG TOTAL RV,2020-04-01,,CPFF
,100.0,2020-03-30,BRCPFFR03M17,RESG TOTAL RV,2020-04-01,,CPFF
,100.0,2020-06-18,BRXPHTR01M16,RESG TOTAL RV,2020-06-18,,XPHT
BRGAMECTF002,900.0,2022-03-09,BRGAMECTF002,DESDOBRAMENTO,2022-03-10,,GAME
BRTSNCCTF009,5900.0,2022-06-28,BRTSNCCTF009,DESDOBRAMENTO,2022-07-22,,TSNC
BRMAXRCTF009,1800.0,2021-04-26,BRMAXRCTF009,DESDOBRAMENTO,2021-04-26,,MAXR
BREQIRCTF003,900.0,2022-09-26,BREQIRCTF003,DESDOBRAMENTO,2022-09-28,,EQIR
BRXPSFCTF009,900.0,2022-05-03,BRXPSFCTF009,DESDOBRAMENTO,2022-05-05,,XPSF
BRDAMTCTF007,0.05,2022-07-19,BRDAMTCTF007,GRUPAMENTO,2022-08-23,,DAMT
,100.0,2021-07-01,BRLOFTCTF021,RESG TOTAL RV,2021-07-01,,LOFT
,100.0,2019-07-01,BRCXTLR02M14,RESG TOTAL RV,2019-07-02,,CXTL
,100.0,2019-07-01,BRCXTLR03M13,RESG TOTAL RV,2019-07-02,,CXTL
,100.0,2022-12-22,BRVLIQCTF000,RESG TOTAL RV,2022-12-22,,VLIQ
BRBRCOCTF007,0.01,2019-12-04,BRBRCOCTF007,GRUPAMENTO,2019-12-04,,BRCO
BRNCHBCTF000,200.0,2019-12-30,BRNCHBCTF000,DESDOBRAMENTO,2020-01-17,,NCHB
,100.0,2021-11-12,BRVLJSCTF012,RESG TOTAL RV,2021-11-12,,VLJS
BRCYCRCTF004,900.0,2022-10-10,BRCYCRCTF004,DESDOBRAMENTO,2022-10-18,,CYCR
,100.0,2016-04-29,BRCPTSR01M18,RESG TOTAL RV,2016-05-02,,CPTS
BRBLMRCTF002,900.0,2021-09-24,BRBLMRCTF002,DESDOBRAMENTO,2021-09-28,,BLMR
BRJSRECTF007,900.0,2014-09-30,BRJSRECTF007,DESDOBRAMENTO,2014-09-30,,JSRE
BRHGCRCTF000,900.0,2017-10-09,BRHGCRCTF000,DESDOBRAMENTO,2017-10-09,,HGCR
,100.0,2021-12-21,BRRBVAR06M18,RESG TOTAL RV,2021-12-21,,RBVA
