assetIssued,percentage,priceUnit,tradingPeriod,subscriptionDate,approvedOn,isinCode,label,lastDatePrior,remarks,code
BRURPRCTF002,,,31/12/9999 a 19/09/2022,2022-09-22,2022-09-01,BRURPRCTF002,SUBSCRICAO,2022-09-06,,URPR
BRURPRCTF002,,,31/12/9999 a 03/05/2022,2022-05-06,2022-04-08,BRURPRCTF002,SUBSCRICAO,2022-04-18,,URPR
BRVJFDCTF008,,,31/12/9999 a 28/10/2021,2021-11-03,2021-10-04,BRVJFDCTF008,SUBSCRICAO,2021-10-04,,VJFD
BRPATCCTF002,,,31/12/9999 a 13/12/2019,2019-12-20,2019-12-02,BRPATCCTF002,SUBSCRICAO,2019-12-02,,PATC
BREUROCTF011,,,06/02/2017 a 14/02/2017,2017-02-21,2017-01-31,BREUROCTF011,SUBSCRICAO,2017-01-31,,EURO
BRNEWLCTF004,,,31/12/9999 a 30/11/2020,2020-12-03,2020-11-04,BRNEWLCTF004,SUBSCRICAO,2020-11-05,,NEWL
BRLSAGCTF004,,,31/12/9999 a 23/11/2022,2022-11-28,2022-11-04,BRLSAGCTF004,SUBSCRICAO,2022-11-09,,LSAG
BRVILGCTF001,,,12/01/2021 a 20/01/2021,2021-01-26,2020-12-22,BRVILGCTF001,SUBSCRICAO,2021-01-11,,VILG
BRMANACTF006,,,31/12/9999 a 20/10/2022,2022-10-25,2022-10-04,BRMANACTF006,SUBSCRICAO,2022-10-07,,MANA
BREGAFCTF006,,,31/12/9999 a 01/12/2022,2022-12-06,2022-11-14,BREGAFCTF006,SUBSCRICAO,2022-11-18,,EGAF
BREGAFCTF006,,,31/12/9999 a 28/07/2022,2022-08-02,2022-07-11,BREGAFCTF006,SUBSCRICAO,2022-07-18,,EGAF
BRMALLCTF007,,,31/12/9999 a 13/10/2022,2022-10-18,2022-09-19,BRMALLCTF007,SUBSCRICAO,2022-09-22,,MALL
BRBCFFCTF000,,,19/03/2021 a 29/03/2021,2021-04-01,2021-02-23,BRBCFFCTF000,SUBSCRICAO,2021-03-12,,BCFF
BRWPLZCTF004,,,31/12/9999 a 16/05/2019,2019-05-23,2019-05-06,BRWPLZCTF004,SUBSCRICAO,2019-05-06,,WPLZ
BRRBRFCTF003,,,07/12/2020 a 15/12/2020,2020-12-18,2020-11-03,BRRBRFCTF003,SUBSCRICAO,2020-12-02,,RBRF
BRSTRXCTF006,,,31/12/9999 a 04/01/2021,2021-01-07,2020-12-18,BRSTRXCTF006,SUBSCRICAO,2020-12-18,,STRX
BRHGRECTF006,,,31/12/9999 a 10/11/2020,2020-11-13,2020-09-29,BRHGRECTF006,SUBSCRICAO,2020-10-22,,HGRE
BRLVBICTF002,,,02/09/2020 a 11/09/2020,2020-09-16,2020-08-10,BRLVBICTF002,SUBSCRICAO,2020-08-26,,LVBI
BRMGFFCTF008,,,31/12/9999 a 08/05/2020,2020-05-13,2020-04-22,BRMGFFCTF008,SUBSCRICAO,2020-04-22,,MGFF
BRSPVJCTF005,,,31/12/9999 a 11/11/2020,2020-11-16,2020-10-30,BRSPVJCTF005,SUBSCRICAO,2020-10-30,,SPVJ
BRNCRACTF001,,,31/12/9999 a 19/10/2022,2022-10-24,2022-09-30,BRNCRACTF001,SUBSCRICAO,2022-10-05,,NCRA
BRRBRYCTF004,,,03/08/2022 a 11/08/2022,2022-08-16,2022-07-13,BRRBRYCTF004,SUBSCRICAO,2022-08-01,,RBRY
BRRBRYCTF004,,,31/12/9999 a 16/03/2022,2022-03-21,2022-02-25,BRRBRYCTF004,SUBSCRICAO,2022-03-04,,RBRY
BRMTOFCTF003,,,07/06/2021 a 15/06/2021,2021-06-18,2021-03-19,BRMTOFCTF003,SUBSCRICAO,2021-06-01,,MTOF
BRBCIACTF005,,,22/07/2020 a 30/07/2020,2020-08-04,2019-09-30,BRBCIACTF005,SUBSCRICAO,2020-07-06,,BCIA
BRALZRCTF006,,,31/12/9999 a 25/07/2022,2022-07-28,2022-07-08,BRALZRCTF006,SUBSCRICAO,2022-07-13,,ALZR
BRDEVACTF000,,,31/12/9999 a 25/07/2022,2022-07-28,2022-06-29,BRDEVACTF000,SUBSCRICAO,2022-07-06,,DEVA
BRBREVCTF008,,,31/12/9999 a 18/12/2020,2020-12-23,2020-12-08,BRBREVCTF008,SUBSCRICAO,2020-12-08,,BREV
BRSHPHCTF008,,,31/12/9999 a 11/08/2022,2022-08-26,2022-02-11,BRSHPHCTF008,SUBSCRICAO,2022-02-16,,SHPH
BRRZAGCTF006,,,21/09/2022 a 29/09/2022,2022-10-04,2022-08-15,BRRZAGCTF006,SUBSCRICAO,2022-09-19,,RZAG
BRXPCACTF004,,,31/12/9999 a 22/09/2022,2022-09-27,2022-09-06,BRXPCACTF004,SUBSCRICAO,2022-09-12,,XPCA
BRXPCACTF004,,,31/12/9999 a 02/06/2022,2022-06-07,2022-05-18,BRXPCACTF004,SUBSCRICAO,2022-05-23,,XPCA
BRHGFFCTF008,,,31/12/9999 a 26/08/2020,2020-08-31,2020-06-26,BRHGFFCTF008,SUBSCRICAO,2020-08-10,,HGFF
BROIAGCTF009,,,24/01/2023 a 02/02/2023,2023-02-07,2022-12-15,BROIAGCTF009,SUBSCRICAO,2023-01-20,,OIAG
BRIBCRCTF009,,,31/12/9999 a 06/04/2022,2022-04-11,2022-03-22,BRIBCRCTF009,SUBSCRICAO,2022-03-25,,IBCR
BRFCFLCTF009,,,31/12/9999 a 05/06/2020,2020-06-10,2020-05-20,BRFCFLCTF009,SUBSCRICAO,2020-05-22,,FCFL
BRJRDMCTF002,,,31/12/9999 a 30/01/2019,2019-02-06,2019-01-14,BRJRDMCTF002,SUBSCRICAO,2019-01-16,,JRDM
BRVSLHCTF008,,,31/12/9999 a 09/12/2021,2021-12-14,2021-11-23,BRVSLHCTF008,SUBSCRICAO,2021-11-26,,VSLH
BRERPACTF002,,,31/12/9999 a 25/11/2021,2021-11-30,2021-10-07,BRERPACTF002,SUBSCRICAO,2021-11-12,,ERPA
BRHCTRCTF003,,,31/12/9999 a 22/02/2022,2022-02-25,2022-02-04,BRHCTRCTF003,SUBSCRICAO,2022-02-09,,HCTR
BRALMICTF003,,,31/12/9999 a 03/10/2018,2018-10-10,2018-09-06,BRALMICTF003,SUBSCRICAO,2018-09-21,,ALMI
BRCNESCTF001,,,20/10/2016 a 26/10/2016,2016-11-03,2016-10-13,BRCNESCTF001,SUBSCRICAO,2016-10-14,,CNES
BRHAAACTF003,,,31/12/9999 a 02/07/2021,2021-07-07,2021-06-17,BRHAAACTF003,SUBSCRICAO,2021-06-22,,HAAA
BRBRHTCTF005,,,31/12/9999 a 31/12/9999,,2018-04-20,BRBRHTCTF005,SUBSCRICAO,2018-05-10,,BRHT
BRTEPPCTF006,,,31/12/9999 a 02/12/2020,2020-12-07,2020-11-16,BRTEPPCTF006,SUBSCRICAO,2020-11-19,,TEPP
